id,uses81,distance,time,fuelUsed,latFrom,lngFrom,latTo,lngTo
"94c7cb9e-60e3-470b-8e9d-60599f50de38","0",6.809,637,0.33,43.048782,-76.12766,43.097152,-76.204084"
"94c7cb9e-60e3-470b-8e9d-60599f50de38","1",5.031,496,0.24,43.04944,-76.152205,43.097152,-76.204084"
"94c7cb9e-60e3-470b-8e9d-60599f50de38","0",5.031,496,0.24,43.04944,-76.152205,43.097152,-76.204084"
"94c7cb9e-60e3-470b-8e9d-60599f50de38","1",1304.9683,72911,60.34,38.837478,-97.606834,43.095544,-76.112765"
"94c7cb9e-60e3-470b-8e9d-60599f50de38","0",1304.9683,72911,60.34,38.837478,-97.606834,43.095544,-76.112765"
"94c7cb9e-60e3-470b-8e9d-60599f50de38","0",1304.9683,72911,60.34,38.837478,-97.606834,43.095544,-76.112765"
"94c7cb9e-60e3-470b-8e9d-60599f50de38","1",1304.9683,72911,60.34,38.837478,-97.606834,43.095544,-76.112765"
"94c7cb9e-60e3-470b-8e9d-60599f50de38","0",461.175,25238,22.17,38.837478,-97.606834,32.910347,-96.523782"
"94c7cb9e-60e3-470b-8e9d-60599f50de38","1",461.175,25238,22.17,38.837478,-97.606834,32.910347,-96.523782"
"b8543d2b-058e-4ad4-9b4d-dcbdb60dd572","0",11.097,1179,0.57,43.135359,-76.12967,43.002568,-76.156211"
"b8543d2b-058e-4ad4-9b4d-dcbdb60dd572","1",11.352,1042,0.56,43.135359,-76.12967,43.002568,-76.156211"
"94c7cb9e-60e3-470b-8e9d-60599f50de38","0",19.185,1360,0.91,42.791162,-76.117143,43.0524,-76.154722"
"94c7cb9e-60e3-470b-8e9d-60599f50de38","1",20.357,1288,0.93,42.791162,-76.117143,43.0524,-76.154722"
"b8543d2b-058e-4ad4-9b4d-dcbdb60dd572","0",0.012,1,0,43.048122,-76.147424,43.047945,-76.147448"
"b8543d2b-058e-4ad4-9b4d-dcbdb60dd572","1",0.012,1,0,43.048122,-76.147424,43.047945,-76.147448"
"2e9981b4-83d6-4e3d-9cc6-26cc810f23ed","0",7.553,1138,0.44,42.976854,-76.141528,43.070965,-76.170334"
